id,Year,Title,Publisher
1,1974,Carrie,Doubleday
2,1975,Salem's Lot,Doubleday
3,1977,The Shining,Doubleday
4,1977,Rage,Signet Books
5,1978,The Stand,Doubleday
6,1979,The Long Walk,Signet Books
7,1979,The Dead Zone,Viking Press
8,1980,Firestarter,Viking Press
9,1981,Roadwork,Signet Books
10,1981,Cujo,Viking Press
11,1982,The Running Man,Signet Books
12,1982,The Dark Tower: The Gunslinger,Grant
13,1983,Christine,Viking
14,1983,Pet Sematary,Doubleday
15,1983,Cycle of the Werewolf,Land of Enchantment
16,1984,The Talisman,Viking
17,1984,The Eyes of the Dragon,Philtrum Press (1984)Viking (1987)
18,1984,Thinner,NAL
19,1986,It,Viking
20,1987,The Dark Tower II: The Drawing of the Three,Grant
21,1987,Misery,Viking
22,1987,The Tommyknockers,Putnam
23,1989,The Dark Half,Viking
24,1990,The Stand Uncut,Doubleday
25,1991,The Dark Tower III: The Waste Lands,Grant
26,1991,Needful Things,Viking
27,1992,Gerald's Game,Viking
28,1992,Dolores Claiborne,Viking
29,1994,Insomnia,Viking
30,1995,Rose Madder,Viking
31,1996,The Green Mile,Signet Books
32,1996,Desperation,Viking
33,1996,The Regulators,Dutton
34,1997,The Dark Tower IV: Wizard and Glass,Grant
35,1998,Bag of Bones,Scribner
36,1999,The Girl Who Loved Tom Gordon,Scribner
37,2001,Dreamcatcher,Scribner
38,2001,Black House,Random House
39,2002,From a Buick 8,Scribner
40,2003,The Dark Tower V: Wolves of the Calla,Grant
41,2004,The Dark Tower VI: Song of Susannah,Grant
42,2004,The Dark Tower VII: The Dark Tower,978-1-880-41862-8
43,2005,The Colorado Kid,Hard Case Crime
44,2006,Cell,Scribner
45,2006,Lisey's Story,Scribner
46,2007,Blaze,Scribner
47,2008,Duma Key,Scribner
48,2009,Under the Dome,Scribner
49,2011,11/22/63,Scribner
50,2012,The Dark Tower: The Wind Through the Keyhole,Grant
51,2013,Joyland,Hard Case Crime
52,2013,Doctor Sleep,Scribner
53,2014,Mr. Mercedes,Scribner
54,2014,Revival,Scribner
55,2015,Finders Keepers,Scribner
56,2016,End of Watch,Scribner
57,2017,Gwendy's Button Box,Cemetery Dance Publications
58,2017,Sleeping Beauties,Scribner
59,2018,The Outsider,Scribner
60,2018,Elevation,Scribner
61,2019,The Institute,Scribner
62,2021,Later,Hard Case Crime
63,2021,Billy Summers,Scribner
72,1979,The Roopak Zone,Viking Press
